comparison,rep,left_req_s,right_req_s,change_percent
pr_vs_base_mps_off,1,0.6347301779691927,0.6280171829012152,-1.057613975351801
pr_vs_base_mps_off,2,0.634400082170411,0.6317577540211541,-0.416508166300511
pr_vs_base_mps_off,3,0.6311244729144155,0.6328866403083881,0.27921075312373755
pr_vs_base_mps_off,4,0.6335663146224022,0.6337678374489745,0.031807692726282255
pr_vs_base_mps_off,5,0.6323495234420115,0.6332287240041126,0.13903711942653274
pr_vs_base_mps_off,6,0.6331845977080612,0.6331255241806614,-0.009329590077478134
pr_vs_base_mps_on,1,0.9249394329045107,0.9253670136245267,0.04622796961668563
pr_vs_base_mps_on,2,0.9251146681294365,0.9250033252071926,-0.012035580677693947
pr_vs_base_mps_on,3,0.9244889749700202,0.9249878800527265,0.05396549836869102
pr_vs_base_mps_on,4,0.9250818180070481,0.9248392328629194,-0.026223101503752844
pr_vs_base_mps_on,5,0.9252234935122641,0.9253842192381029,0.017371556922829434
pr_vs_base_mps_on,6,0.9244030267121693,0.9250286966267696,0.06768367222091953
mps_on_vs_off_base,1,0.6347301779691927,0.9249394329045107,45.72167276870891
mps_on_vs_off_base,2,0.634400082170411,0.9251146681294365,45.82511795465602
mps_on_vs_off_base,3,0.6311244729144155,0.9244889749700202,46.48282781697595
mps_on_vs_off_base,4,0.6335663146224022,0.9250818180070481,46.01183753880376
mps_on_vs_off_base,5,0.6323495234420115,0.9252234935122641,46.31520373037967
mps_on_vs_off_base,6,0.6331845977080612,0.9244030267121693,45.99265839033857
mps_on_vs_off_pr,1,0.6280171829012152,0.9253670136245267,47.347403672883814
mps_on_vs_off_pr,2,0.6317577540211541,0.9250033252071926,46.41740751411805
mps_on_vs_off_pr,3,0.6328866403083881,0.9249878800527265,46.15380087688461
mps_on_vs_off_pr,4,0.6337678374489745,0.9248392328629194,45.9271326524801
mps_on_vs_off_pr,5,0.6332287240041126,0.9253842192381029,46.13743567831155
mps_on_vs_off_pr,6,0.6331255241806614,0.9250286966267696,46.105102589864
