"gpu","concurrency","repetition","upstream_requests_per_second","pr_requests_per_second","pr_vs_upstream_percent"
"A100",8,1,0.6338619673532103,0.6323714564079509,-0.23514755925225783
"A100",8,2,0.6294366691520634,0.6257515007440749,-0.5854708803274655
"A100",8,3,0.631562372616429,0.6302683105679309,-0.20489853490434085
"A100",8,4,0.6270488571199203,0.6260014245229533,-0.16704162444023396
"A100",8,5,0.6283019744537296,0.6304443650726634,0.34098104192599177
"A100",8,6,0.6285809083802636,0.6304820800754728,0.3024545718558702
"A100",16,1,0.6339351881264342,0.6341395891167945,0.03224319996564251
"A100",16,2,0.6303857127320548,0.6281188252606671,-0.3596032437923058
"A100",16,3,0.6325281481413964,0.632016305762194,-0.08092009513035459
"A100",16,4,0.626570105080169,0.6269591150373459,0.06208562362342018
"A100",16,5,0.6262097589352357,0.6311339740177295,0.786352338370877
"A100",16,6,0.6286642150970527,0.6329641357785454,0.683977324974494
"A100",32,1,0.6357320735905281,0.6337316550934909,-0.31466376798311435
"A100",32,2,0.6326669015562845,0.6298660184554343,-0.44271054704463353
"A100",32,3,0.6330281237238429,0.6329513810943612,-0.01212309952837165
"A100",32,4,0.6277725727006978,0.627053654306754,-0.11451892376421746
"A100",32,5,0.6279734243293292,0.6327707050156053,0.7639305264230734
"A100",32,6,0.6315109907578977,0.6329515561013128,0.2281140573161311
"RTX",8,1,1.1520899893780974,1.1426706728174114,-0.8175851407033363
"RTX",8,2,1.1433877494401867,1.1454700943874447,0.1821206277815568
"RTX",8,3,1.1563744480553955,1.135110427491329,-1.838852510086575
"RTX",8,4,1.1320439606670867,1.1484716137512119,1.451149748146241
"RTX",8,5,1.1526234568609646,1.1464968847724595,-0.5315328307815337
"RTX",8,6,1.1458737664105054,1.1347255472486544,-0.9729011596777637
"RTX",16,1,1.1457729663209,1.1426106961350428,-0.2759944839692996
"RTX",16,2,1.1496566863228477,1.1533222668959868,0.3188413216525854
"RTX",16,3,1.1512478412636598,1.1454312984112256,-0.5052381115477012
"RTX",16,4,1.1468431484527788,1.1526162625666385,0.5033917778249242
"RTX",16,5,1.1469361860423501,1.1450902375678498,-0.16094604887042507
"RTX",16,6,1.1420217374580568,1.1465177181040465,0.3936860830685118
"RTX",32,1,1.1474841243940932,1.1475322181145444,0.004191231881023327
"RTX",32,2,1.1537165075761706,1.1469127007727222,-0.5897295183668994
"RTX",32,3,1.1452756067997736,1.141858118450456,-0.2983987722280257
"RTX",32,4,1.1406477150413488,1.1471965405883502,0.5741321760122986
"RTX",32,5,1.1420456754920298,1.1499419738554542,0.6914170363652383
"RTX",32,6,1.1528455976018197,1.1481437845472984,-0.4078441262474475
